"surveyyear","URM","pfacres","kccrit","kclead","kcrelate","kcwrite","kcjudge","kcsynth"
2014,"URM","No","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2013,"URM","Yes","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2013,"Asian","Yes","Very much","Some","Quite a bit","Very much","Very much","Very much"
2013,"Asian","No","Quite a bit","Quite a bit","Very little or none","Some","Quite a bit","Very much"
2013,"International","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Very little or none"
2013,"URM","No","Quite a bit","Some","Quite a bit","Some","Quite a bit","Quite a bit"
2013,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2013,"White","No","Very much","Very little or none","Some","Very much","Quite a bit","Very little or none"
2013,"White","Yes","Quite a bit","Very much","Very much","Quite a bit","Very much","Very much"
2013,"URM","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2014,"White","No","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2013,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2013,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2013,"White","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Very much"
2013,"International","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2013,"URM","Yes","Quite a bit","Very little or none","Quite a bit","Very much","Some","Quite a bit"
2013,"URM","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Some","Very much","Quite a bit"
2012,"URM","Yes","Very much","Some","Very much","Very much","Very much","Very much"
2014,"International","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2013,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2013,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2012,"White","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2014,"White","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2013,"URM","No","Very much",NA,"Some","Very much","Very much","Quite a bit"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some"
2014,"Asian","No","Very much","Some","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"Asian","No","Some","Very little or none","Some","Some","Some","Some"
2014,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","Yes","Very much","Very little or none","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Some","Quite a bit","Very much","Very much","Quite a bit"
2014,"White","Yes","Very much","Some","Very much","Very much","Some","Some"
2014,"International","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Some","Some","Quite a bit","Some","Quite a bit","Some"
2012,"URM","No","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"URM","No","Quite a bit","Quite a bit","Very much","Very much","Very much","Very much"
2014,"International","No","Very much","Very little or none","Quite a bit","Quite a bit","Some","Some"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2014,"Asian","No","Quite a bit","Very much","Some","Very much","Quite a bit","Quite a bit"
2012,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2014,"International","Yes","Some","Quite a bit","Very much","Some","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2014,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2012,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"Asian","No","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Very little or none","Some","Very much","Very much","Very much"
2014,"URM","No","Some","Some","Some","Some","Some","Some"
2014,"White","Yes","Quite a bit","Quite a bit","Some","Some","Very much","Quite a bit"
2014,"URM","Yes","Quite a bit","Very little or none","Quite a bit","Some","Some","Quite a bit"
2014,"International","Yes","Some","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Very much","Very much","Very much","Quite a bit","Quite a bit"
2014,"Asian","No","Quite a bit","Very much","Quite a bit","Quite a bit","Very little or none","Some"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","No","Some","Some","Quite a bit","Some","Quite a bit","Quite a bit"
2014,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"International","Yes","Quite a bit","Some","Quite a bit","Some","Some","Some"
2014,"URM","No","Very much","Some","Very much","Very much","Very much","Very much"
2014,"URM","No","Very much","Some","Some","Very much","Very much","Very much"
2014,"Asian","Yes","Quite a bit","Some","Some","Quite a bit","Some","Quite a bit"
2014,"URM","Yes","Quite a bit","Some","Quite a bit","Very much","Very much","Quite a bit"
2014,"International","Yes","Very much","Quite a bit","Very much","Very much","Some","Quite a bit"
2012,"URM","Yes","Quite a bit","Very much","Some","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"International","Yes","Very much","Some","Quite a bit","Very much","Very much","Very much"
2014,"Asian","Yes","Very little or none","Quite a bit","Some","Some","Some","Some"
2014,"International","Yes","Very much","Some","Some","Very much","Very much","Quite a bit"
2014,"White","No","Very much","Some","Very little or none","Quite a bit","Very much","Quite a bit"
2014,"Asian","Yes","Quite a bit","Some","Some","Quite a bit","Some","Some"
2014,"International","Yes","Quite a bit","Quite a bit","Some","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much"
2014,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Some"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Very much"
2014,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit",NA
2014,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Quite a bit","Quite a bit","Some"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Quite a bit","Quite a bit"
2014,"White","No","Some","Quite a bit","Some","Some","Quite a bit","Some"
2014,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"International","No","Quite a bit","Some","Some","Quite a bit","Quite a bit","Some"
2014,"White","Yes","Quite a bit","Quite a bit","Some","Some","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Some","Some","Some","Quite a bit","Quite a bit"
2012,"White","No",NA,NA,NA,NA,NA,NA
2014,"Asian","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","No","Some","Some","Very much","Quite a bit","Quite a bit","Some"
2014,"White","No","Some","Some","Some","Some","Some","Some"
2014,"International","Yes","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some"
2014,"International","No","Quite a bit","Some","Quite a bit","Some","Some","Quite a bit"
2014,"White","Yes","Some","Some","Very much","Very little or none","Quite a bit","Quite a bit"
2013,"Asian","Yes","Very much",NA,"Very much","Very much","Very much","Very much"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"International","Yes","Some","Quite a bit","Some","Quite a bit","Quite a bit","Very little or none"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"URM","No","Very much","Some","Very much","Very much","Very much","Very much"
2014,"White","Yes","Some","Very little or none","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"URM","No","Very much","Some","Quite a bit","Very much","Very much","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2013,"URM","No","Some","Some","Some","Very little or none","Very much","Quite a bit"
2013,"White","Yes","Quite a bit","Very little or none","Very much","Some","Quite a bit","Some"
2013,"Asian","Yes","Very much","Very little or none","Very little or none","Some","Some","Some"
2014,"URM","No","Some","Some","Quite a bit","Some","Some","Some"
2014,"White","Yes","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none"
2014,"URM","Yes","Very much","Some","Quite a bit","Quite a bit","Very much","Very much"
2014,"International","Yes","Some","Very little or none","Some","Some","Some","Very little or none"
2014,"International","No","Very much","Very little or none","Quite a bit","Very much","Some","Quite a bit"
2014,"White","Yes","Some","Some","Some","Quite a bit","Some","Some"
2014,"Asian","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"International","No","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2014,"URM","Yes","Very much","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Some","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Very much","Quite a bit","Some","Some","Quite a bit","Some"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"International","No","Very much","Quite a bit","Very much","Quite a bit","Very little or none","Some"
2014,"White","Yes","Very much","Very much","Very much","Some","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2014,"URM","Yes","Quite a bit","Some","Quite a bit","Some","Quite a bit","Some"
2014,"URM","Yes","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Very much","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"White","No","Very much","Some","Very much","Some","Very much","Quite a bit"
2014,"Asian","No","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very little or none","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much"
2014,"White","Yes","Very much","Very much","Some","Very much","Quite a bit","Quite a bit"
2014,"URM","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2014,"Asian","No","Very much","Some","Very much","Quite a bit","Very much","Very much"
2014,"Asian","No","Very much","Very much","Very much","Very much","Quite a bit","Some"
2014,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit",NA,"Some"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Quite a bit","Quite a bit"
2014,"International","No","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Quite a bit","Very much","Some","Quite a bit","Very much","Quite a bit"
2014,"URM","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"URM","No","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2014,"URM","Yes","Very much","Very much","Very much","Quite a bit","Some","Very much"
2014,"International","No","Very much","Some","Very much","Quite a bit","Very much",NA
2014,"International","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Some","Some","Very much","Very much","Very much"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Some","Some","Some"
2014,"International","No","Very much","Quite a bit","Very much","Some","Some","Quite a bit"
2014,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"International","No",NA,NA,NA,NA,NA,NA
2013,"URM","Yes","Quite a bit","Some","Some","Quite a bit","Quite a bit","Very much"
2014,"White","Yes","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2014,"Asian","Yes","Very much","Very much","Some","Very much","Very much","Very much"
2014,"International","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Some"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2012,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","No","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2014,"White","No","Quite a bit","Quite a bit","Very little or none","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Very little or none","Very little or none","Some","Very little or none","Very little or none","Very little or none"
2014,"URM","Yes","Some","Some","Some","Some","Some","Some"
2014,"URM","Yes","Quite a bit","Very little or none","Some","Some","Some","Quite a bit"
2014,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Very little or none","Very much","Quite a bit","Quite a bit","Some"
2014,"URM","Yes","Very much","Quite a bit","Some","Some","Very much","Some"
2014,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some"
2014,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"Asian","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Very much","Very much","Very much","Quite a bit","Quite a bit"
2014,"URM","Yes","Quite a bit","Quite a bit","Very much","Some","Some","Quite a bit"
2014,"URM","No","Quite a bit","Some","Quite a bit","Very much","Very much","Very much"
2014,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Very much"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"Asian","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Very much"
2014,"URM","No","Very much","Very much","Very much","Very much","Some","Very much"
2013,"International","Yes","Very much","Very little or none","Very little or none","Very much","Very much","Very much"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","No","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"Asian","Yes","Very little or none","Some","Some","Some","Some","Some"
2014,"URM","Yes","Quite a bit","Very much","Some","Very much","Quite a bit","Quite a bit"
2014,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Very much","Quite a bit","Very much","Quite a bit","Very much","Quite a bit"
2014,"White","Yes","Very much","Quite a bit","Some","Very much","Quite a bit","Very much"
2014,"URM","Yes","Very much","Quite a bit","Very little or none","Quite a bit","Very much","Very much"
2014,"International","No","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Some"
2014,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Quite a bit","Some","Very much","Very much","Very much","Very much"
2014,"URM","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2014,"White","Yes","Some","Some","Quite a bit","Some","Some","Some"
2014,"International","No","Very much","Very much","Quite a bit","Some","Very much","Quite a bit"
2013,"URM","Yes","Quite a bit","Very little or none","Very little or none","Quite a bit","Some","Some"
2014,"URM","Yes",NA,NA,NA,NA,NA,NA
2014,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"Asian","No","Very much",NA,"Some","Quite a bit","Some","Some"
2014,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","Yes","Some","Some","Very much","Quite a bit","Very much","Very much"
2014,"URM","Yes","Very much","Quite a bit","Some","Quite a bit","Some","Some"
2014,"White","No","Very much","Very much","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Some","Some","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","No","Quite a bit","Some","Some","Very little or none","Quite a bit","Quite a bit"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Very much","Some","Some"
2014,"International","No","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","No","Quite a bit","Some","Some","Quite a bit","Some","Quite a bit"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very little or none","Quite a bit"
2014,"Asian","No","Very much","Very much","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"White","Yes","Quite a bit","Very much","Very much","Quite a bit","Very much","Very much"
2014,"White","Yes","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Quite a bit","Very much","Quite a bit"
2012,"White","Yes","Quite a bit","Very much","Some","Some","Quite a bit","Very much"
2014,"URM","No","Very much","Very much","Very little or none","Very much","Some","Quite a bit"
2013,"Asian","No","Quite a bit","Quite a bit","Very little or none","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"International","Yes",NA,NA,NA,NA,NA,NA
2013,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","No","Quite a bit","Quite a bit",NA,"Quite a bit","Quite a bit","Quite a bit"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Some"
2014,"Asian","Yes","Quite a bit","Very much","Quite a bit","Some","Some","Quite a bit"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"International","No","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"International","No","Some","Some","Quite a bit","Some","Some","Quite a bit"
2012,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2012,"White","Yes","Very much","Some","Some","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Quite a bit","Quite a bit","Some","Quite a bit","Very little or none","Some"
2014,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Some","Some","Some","Quite a bit","Some","Some"
2014,"URM","Yes","Very much","Some","Very much","Quite a bit","Very much","Quite a bit"
2014,"Asian","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"Asian","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"URM","Yes","Some","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Quite a bit","Very much","Quite a bit"
2014,"Asian","Yes","Very much","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"URM","Yes","Some","Very little or none","Very little or none","Some","Very little or none","Very little or none"
2014,"International","Yes","Very much","Some","Very little or none","Some","Quite a bit","Some"
2012,"URM","Yes","Very much","Some","Some","Very much","Some","Some"
2014,"Asian","No","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"Asian","No","Very much","Some","Very much","Very much","Quite a bit","Quite a bit"
2014,"Asian","Yes",NA,NA,NA,NA,NA,NA
2014,"URM","No","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none"
2014,"Asian","No","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2014,"International","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","No","Quite a bit","Very much","Very much","Quite a bit","Very little or none","Quite a bit"
2014,"International","No","Quite a bit","Quite a bit","Very much","Some","Quite a bit","Some"
2014,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Very much"
2014,"White","No","Quite a bit","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"Asian","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Some","Some"
2014,"URM","Yes","Quite a bit","Quite a bit","Very much","Very much","Very much","Quite a bit"
2014,"URM","Yes","Some","Very little or none","Very little or none","Some","Some","Some"
2012,"White","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2014,"White","No","Quite a bit","Very much","Very much","Very much","Very much","Quite a bit"
2014,"White","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2014,"URM","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2014,"URM","No","Quite a bit","Quite a bit","Some","Some","Quite a bit","Quite a bit"
2014,"Asian","No","Some","Some","Some","Very little or none","Quite a bit","Very little or none"
2014,"White","No",NA,NA,NA,NA,NA,NA
2014,"URM","No","Some","Very little or none","Some","Quite a bit","Quite a bit","Some"
2014,"URM","No","Quite a bit","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2012,"International","No","Very much","Very much","Quite a bit","Quite a bit","Very much","Quite a bit"
2014,"White","Yes","Very much","Quite a bit","Very much","Very much","Very much","Some"
2014,"URM","No","Some","Quite a bit","Quite a bit","Very little or none","Quite a bit","Some"
2014,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Some","Quite a bit"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"International","Yes","Very much","Very much","Very much","Some","Quite a bit","Quite a bit"
2014,"URM","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2014,"Asian","Yes","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Quite a bit"
2014,"International","Yes","Very much","Some","Some","Very much","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very much","Quite a bit","Some","Very much","Quite a bit"
2013,"Asian","No","Very much","Quite a bit","Very much","Quite a bit","Very much","Very much"
2014,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Some","Some","Some","Quite a bit","Some","Quite a bit"
2014,"International","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2014,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Quite a bit","Very much"
2013,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Very much","Some","Very much","Very much","Quite a bit"
2014,"White","No","Quite a bit","Some","Very much","Quite a bit","Quite a bit","Very much"
2014,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2014,"Asian","Yes","Some","Quite a bit","Very much","Some","Some","Some"
2013,"Asian","Yes","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit","Some"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes",NA,NA,NA,NA,NA,NA
2013,"International","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Some","Very much","Very much","Quite a bit","Quite a bit"
2014,"White","Yes","Some","Some","Quite a bit","Some","Quite a bit","Some"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some"
2013,"White","No","Quite a bit","Quite a bit","Quite a bit","Some","Very much","Some"
2014,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"URM","Yes","Very much","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2013,"URM","Yes","Quite a bit","Some","Some","Some","Quite a bit","Very little or none"
2014,"URM","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2013,"URM","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","Yes","Very much","Very much","Very much","Very much",NA,"Very much"
2014,"URM","Yes",NA,NA,NA,NA,NA,NA
2014,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2014,"White","Yes","Very much","Very much","Very much","Very much","Very much","Quite a bit"
2014,"Asian","No","Very much","Very much","Quite a bit","Very much","Some","Quite a bit"
2014,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2012,"URM","No","Very much","Quite a bit","Quite a bit","Quite a bit","Very much","Very much"
2014,"URM","Yes","Very much","Very much","Quite a bit","Some","Quite a bit","Some"
2014,"Asian","No","Very much","Some","Some","Very much","Quite a bit","Quite a bit"
2014,"URM","Yes","Some","Quite a bit","Very much","Very much","Some","Some"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2012,"Asian","No","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none"
2014,"White","Yes","Quite a bit","Very little or none","Very little or none","Quite a bit","Very much","Some"
2014,"Asian","Yes","Quite a bit","Quite a bit","Very much","Some","Very much","Very much"
2014,"White","Yes","Very much","Quite a bit","Very much","Quite a bit","Very much","Very much"
2014,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Very much"
2012,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2013,"International","No","Very much","Very much","Some","Very much","Very much","Quite a bit"
2014,"White","No","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2014,"URM","No","Quite a bit","Very much","Quite a bit","Some","Some","Quite a bit"
2014,"URM","No","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Some"
2013,"URM","Yes","Quite a bit","Some","Some","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","No","Very much","Very much","Quite a bit","Some","Very little or none","Quite a bit"
2014,"URM","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2014,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
